,left sensor,right sensor,left motor,right motor
979,155,122,48,42
980,164,115,49,41
981,183,137,49,41
982,194,138,50,40
983,203,145,50,40
984,205,135,52,38
985,206,138,51,39
986,224,144,53,37
987,221,139,53,37
988,241,145,54,36
989,185,139,49,41
990,187,145,49,41
991,173,148,47,43
992,147,154,45,45
993,150,150,45,45
994,136,153,44,46
995,135,159,43,47
996,142,150,45,45
997,146,152,45,45
998,159,135,47,43
999,155,139,46,44
1000,181,132,49,41
1001,192,135,50,40
1002,211,130,53,37
1003,218,130,53,37
1004,216,124,54,36
1005,207,123,53,37
1006,219,124,54,36
1007,204,121,53,37
1008,199,124,52,38
1009,161,129,48,42
1010,162,126,48,42
1011,153,127,47,43
1012,155,140,46,44
1013,153,125,47,43
1014,168,134,48,42
1015,195,144,50,40
1016,186,114,52,38
1017,210,126,53,37
1018,227,135,54,36
1019,242,141,55,35
1020,239,131,55,35
1021,234,139,54,36
1022,260,146,56,34
1023,247,139,55,35
1024,256,145,56,34
1025,231,138,54,36
1026,259,145,56,34
1027,238,148,54,36
1028,237,146,54,36
1029,230,138,54,36
1030,220,142,52,38
1031,241,140,55,35
1032,234,127,55,35
1033,230,147,53,37
1034,236,131,55,35
1035,240,150,54,36
1036,217,140,52,38
1037,195,149,49,41
1038,204,148,50,40
1039,194,147,49,41
1040,196,132,51,39
1041,202,157,49,41
1042,219,147,52,38
1043,224,167,50,40
1044,226,146,53,37
1045,244,168,52,38
1046,231,175,50,40
1047,207,163,49,41
1048,208,193,46,44
1049,177,166,46,44
1050,184,178,45,45
1051,189,148,49,41
1052,189,173,46,44
1053,187,146,49,41
1054,198,162,48,42
1055,215,151,51,39
1056,218,152,51,39
1057,219,140,52,38
1058,227,143,53,37
1059,250,145,55,35
1060,224,133,54,36
1061,226,137,53,37
1062,229,130,54,36
1063,240,140,55,35
1064,230,146,53,37
1065,234,132,55,35
1066,235,143,54,36
1067,238,128,56,34
1068,224,132,54,36
1069,238,131,55,35
1070,207,162,49,41
1071,209,127,53,37
1072,232,133,54,36
1073,242,132,56,34
1074,278,149,57,33
1075,247,124,57,33
1076,248,124,57,33
1077,255,146,55,35
1078,240,136,55,35
1079,241,127,56,34
1080,233,137,54,36
1081,218,127,54,36
1082,219,135,53,37
1083,218,133,53,37
1084,185,130,50,40
1085,189,129,51,39
1086,177,137,49,41
1087,187,126,51,39
1088,178,128,50,40
1089,173,134,48,42
1090,188,130,50,40
1091,189,120,51,39
1092,212,122,54,36
1093,210,130,53,37
1094,214,119,54,36
1095,216,117,54,36
1096,222,110,56,34
1097,197,109,53,37
1098,197,107,54,36
1099,186,111,52,38
1100,174,107,51,39
1101,181,114,51,39
1102,163,109,50,40
1103,149,103,49,41
1104,143,103,49,41
1105,157,112,49,41
1106,140,113,47,43
1107,143,117,47,43
1108,139,126,46,44
1109,150,122,47,43
1110,158,122,48,42
1111,177,122,50,40
1112,174,111,51,39
1113,189,111,52,38
1114,183,114,51,39
1115,201,115,53,37
1116,196,115,53,37
1117,225,111,56,34
1118,215,112,55,35
1119,227,109,56,34
1120,218,114,55,35
1121,239,118,57,33
1122,246,105,59,31
1123,282,123,60,30
1124,284,130,60,30
1125,277,132,59,31
1126,290,126,61,29
1127,293,138,60,30
1128,312,140,62,28
1129,318,128,64,26
1130,280,137,59,31
1131,346,158,63,27
1132,328,144,63,27
1133,359,153,65,25
1134,323,149,62,28
1135,330,149,63,27
1136,330,145,63,27
1137,372,148,67,25
1138,357,151,65,25
1139,380,157,67,25
1140,374,153,67,25
1141,366,157,65,25
1142,352,143,65,25
1143,365,174,64,26
1144,412,170,69,25
1145,387,147,69,25
1146,350,143,65,25
1147,373,148,67,25
1148,336,143,64,26
1149,349,140,65,25
1150,326,139,63,27
1151,312,149,61,29
1152,310,142,61,29
1153,298,139,60,30
1154,271,141,58,32
1155,264,149,56,34
1156,281,147,58,32
1157,291,152,58,32
1158,300,151,59,31
1159,339,161,62,28
1160,344,136,65,25
1161,384,160,67,25
1162,355,135,67,25
1163,318,138,63,27
1164,290,141,59,31
1165,265,135,58,32
1166,264,124,59,31
1167,246,132,56,34
1168,232,131,55,35
1169,228,127,55,35
1170,217,131,53,37
1171,205,134,52,38
1172,216,130,53,37
1173,205,122,53,37
1174,202,129,52,38
1175,185,130,50,40
1176,176,138,48,42
1177,166,141,47,43
1178,174,146,47,43
1179,176,138,48,42
1180,169,135,48,42
1181,173,146,47,43
1182,163,140,47,43
1183,170,150,47,43
1184,183,144,48,42
1185,164,137,47,43
1186,170,138,48,42
1187,186,139,49,41
1188,181,127,50,40
1189,197,144,50,40
1190,177,131,49,41
1191,159,144,46,44
1192,150,142,45,45
1193,153,157,45,45
1194,135,157,43,47
1195,136,185,41,49
1196,129,188,40,50
1197,133,182,41,49
